ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328476-3287,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@GeorgetownHoops,Georgetown Hoops,"G A M E D A Y
#Georgetown x Butler
: 7:00 PM ET
: MASN2/FSN
: TheTeam 980
#hoyasaxa #wearegeorgetownpic.twitter.com/U5LbW6lDNa",2,14,47,1.55E+12,1/2/2019 7:56,/GeorgetownHoops/status/1080493034511519745
1554328476-3229,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Littledragonco1,Littledragoncorp,"Do you love dice? I love dice!!

Anyone local in the GTA I will personally come deliver your dice that you order from our Kickstarter! 

http://www.kickstarter.com/projects/littledragoncorp/hidden-gem-diceÂ â€_

#dice #ttrpg #rpg #dnd #dnd5e #polyset #brampton #mississauga #toronto #caledon #georgetown pic.twitter.com/GJYrulqRUF",1,3,15,1.55E+12,3/7/2019 11:33,/Littledragonco1/status/1103740473632538627
1554328476-3231,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@drkastout,Dr. Karen Stout,On my walk tonight I discovered this cat cafe experience!  The cafe proceeds help care for the cats until they are adopted. You need an advance booking to get in. âÅ_@Crumbs_WhiskersâÅ© #Georgetown pic.twitter.com/8kSNSCjDjU,0,4,9,1.55E+12,2/28/2019 16:11,/drkastout/status/1101273606628229120
1554328476-3214,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@IFP_11,theIFP.ca,"Georgetown family raising awareness of Tourette syndrome: https://bit.ly/2ThJ3ADÂ 
#haltonhills #georgetown @TouretteCanada #trekfortourettepic.twitter.com/LRt66mkhtX",0,14,21,1.55E+12,3/19/2019 14:43,/IFP_11/status/1108121777685909506
1554328476-3193,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@HarlemRoots1658,Harlem Roots,"4/2/1984: #Georgetown coach, John Thompson becomes the first African-American coach to win the NCAA basketball tournament. #onthisday #otd #JohnThompson #NCAA #basketballpic.twitter.com/jmbT16N2Jd",0,0,0,1.55E+12,4/2/2019 0:03,/HarlemRoots1658/status/1112973695696416770
1554328476-3238,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@CommonwealthRow,Commonwealth Row,UPDATE. Sierra Leone- Departed; Atlantic Ocean - Crossed; Brazil - Passed; French Guyana -  Navigated; leaving just Suriname to pass which is steadily making its way passed my port side. Then just the #Guyana coastline all the way in to #Georgetown pic.twitter.com/re5wonybsh,1,5,17,1.55E+12,2/23/2019 12:39,/CommonwealthRow/status/1099408454521942017
1554328476-3281,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@georgetownmain,Georgetown Main St,We're excited for some new eats in #Georgetown! https://twitter.com/DCist/status/1080530075899056129Â â€_,0,1,4,1.55E+12,1/3/2019 7:28,/georgetownmain/status/1080848335588732934
1554328476-3247,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@shnsports,SHN Sports,"Girls Area Round Playoff Basketball FRIDAY

#Georgetown vs #MagnoliaWest

LIVE AUDIO 7pm
 http://www.shnsports.com/scoreboard/girls-high-school-basketball-georgetown-eagles-vs-magnolia-west-mustangs-2-15-2019-650pm-pregame-700pm-tipoff/Â â€_

@robhipp on the call

@CoachFarney @GeorgetownISD @MWHS_GBB @westmustangs @FanstandATX @ghsbluecrew18 @hoopinsider @GeorgetownHS #txhshoopspic.twitter.com/fqnwlaIXL9",0,14,16,1.55E+12,2/14/2019 20:24,/shnsports/status/1096264067105411072
1554328476-3299,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@PMGcare,Paula Mitchell Group,Transformation Tuesday | Check out this stunning before and after of this bedroom staged by Bluelace Home & Design. #PMGCare #royallepage #paulamitchellgroup #home #decor #design #homesforsale #Brampton #Georgetown #Caledon #dreamhome #transformationtuesday #bluelacehomeanddesignpic.twitter.com/ubc4MMwjhr,0,0,1,1.55E+12,1/1/2019 8:45,/PMGcare/status/1080142882445709323
1554328476-3209,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@mikesandbrink,Mike Sandbrink,Love that 1998 @GCTigersHoops team! #georgetown #Tigerspic.twitter.com/LHRCLFfEbK,0,0,2,1.55E+12,3/26/2019 18:30,/mikesandbrink/status/1110715686526115841
1554328476-3171,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Oreo,Oreo Cookie,The most epic cookies of all time are here. Click to watch the full video. #GameOfCookies #ForTheThrone,28,152,660,1.55E+12,4/2/2019 7:27,/Oreo/status/1113085571767943170
1554328476-3263,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@gary_haston,Wilcogman,We are going to make the #WilcoLivePDwatchParty great for more than 200 fans @citylights I. #GEORGETOWN tomorrow night! @BomerKelli @gmarc1232 and many others will be there to make your night awesome! #Biggest1Yet for @LivePDNation @LivePdFans @LivePDPunshttps://twitter.com/SheriffChody/status/1091016879525765121Â â€_,0,3,32,1.55E+12,1/31/2019 9:02,/gary_haston/status/1091019018537000960
1554328476-3170,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Justin_Tri5,NeedToKnow?,Just saw a @dcfireems dude smoking something good while sitting in an ambulance in #Georgetown down on K street. Clearly Iâ€™m in the wrong line of work.,0,0,1,1.55E+12,4/2/2019 14:17,/Justin_Tri5/status/1113188724551114753
1554328476-3218,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@FanstandATX,FanstandATX,"Birthday S/O #Georgetown RB Chris Martinez ('19) #31, Regional 5A Finals/State 7v7 ('18) pic.twitter.com/pSvtxdXB10",1,4,26,1.55E+12,3/15/2019 10:41,/FanstandATX/status/1106611459675639808
1554328476-3253,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@KRGVSports,KRGV Sports,"Mission Veterans QB Landry Gilpin signs to play at Southwestern University in Georgetown, TX. 

Congrats Landry! 

(via @MVetsFootball)

#KRGV #RGV #txhsfb #Georgetown #NSD19pic.twitter.com/WXrOlHhsjY",1,17,132,1.55E+12,2/6/2019 19:05,/KRGVSports/status/1093345005593378816
